course_name,faculty_name
POLS 60472: Comparative Political Institutions,Aníbal Pérez-Liñán
POLS 98701: The Academic Career,Christina Wolbrecht
POLS 60699: Hegel and His 20th Century Appropriators and Critics,Dana Villa
POLS 60052: Political Participation,David Campbell
POLS 60862: Programming for the Social Sciences,Erin Rossiter
POLS 60226: International Security,Eugene Gholz
POLS 60043: American Political Behavior,Geoffrey C. Layman
POLS 60456: The Logic of Political Violence,Guillermo Trejo
POLS 60810: Regression I,Jeff Harden
"POLS 98702: Research, Dissertation, and Publication Workshop",Mary M. Keys
POLS 61001 : American Politics Research Lab,Matthew E.K. Hall
POLS 60453: Comparative Field Seminar,Michael Hoffman
POLS 98703: Empirical Political Science Dissertation Workshop,Scott Mainwaring
POLS 60205: International Political Economy,Susanne Wengle
"POLS 60247: Violent Conflict in Fragile States: Research, Policy and Practice in Complex Wars",Rachel Sweet
POLS 60248: Approaches to Violent Extremism,Lisa Schirch
"POLS 60477: Criminal Governance, Democracy and Policies",Abby Cordova
POLS 60121: Jurisprudence: Foundations of Human Rights,Paolo Carozza